smiles,molecule_type,chunk,heat_of_formation,dipole_x,dipole_y,dipole_z,dipole_moment,homo_ev,lumo_ev,gap_ev,spin_state,ionization_potential,cosmo_area,cosmo_volume,molecular_weight,point_group,filled_levels,total_energy_kcal_mol,total_energy_ev,computation_time,success,num_atoms,input_charge
C#CCN=CN(C)C,neutral,results_chunk_10_of_10,72.27129,-0.302,-1.798,0.834,2.005,-8.83,1.094,9.924,closed_shell,8.829643,169.19,159.83,110.1584,C1,22,72.27129,3.1338999482699994,0.571,True,18,0
C(=C(N(C)C)C)C,neutral,results_chunk_10_of_10,-3.80922,-0.389,-0.239,-1.092,1.183,-8.325,1.353,9.677999999999999,closed_shell,8.325454,157.96,154.76,99.1754,C1,21,-3.80922,-0.16517920685999998,0.601,True,20,0
C(CCN)C[C@@H](C(=O)O)N,neutral,results_chunk_10_of_10,-101.0876,1.643,-1.016,-0.383,1.969,-9.371,0.837,10.208,closed_shell,9.370894,193.6,191.31,146.1888,C1,30,-101.0876,-4.383461598799999,0.881,True,24,0
C(=C(N(C)C)CC)C,neutral,results_chunk_10_of_10,-7.83771,-0.792,0.432,0.449,1.007,-8.442,1.282,9.724,closed_shell,8.442366,173.23,176.16,113.2022,C1,24,-7.83771,-0.33986661873,0.974,True,23,0
C(C[C@@H](C(=O)O)N)CNC(=N)N,neutral,results_chunk_10_of_10,-91.06765,-3.285,-1.695,1.721,4.077,-9.28,0.506,9.786,closed_shell,9.279874,195.76,211.26,174.2022,C1,35,-91.06765,-3.9489665069499997,2.286,True,26,0
C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N,neutral,results_chunk_10_of_10,-111.33103,2.604,-0.526,-0.005,2.657,-9.255,-0.713,8.542000000000002,closed_shell,9.255257,259.63,289.04,267.2438,C1,51,-111.33103,-4.82764745389,3.886,True,32,0
C1CC=C2NCCCN2C1,neutral,results_chunk_10_of_10,12.43552,-1.719,-1.698,-0.192,2.424,-7.616,1.659,9.275,closed_shell,7.616498,177.81,181.64,138.212,C1,28,12.43552,0.53924145376,0.621,True,24,0
C1CCN(C1)C2=CCCC2,neutral,results_chunk_10_of_10,2.85672,-1.332,-1.557,0.101,2.052,-7.872,1.543,9.415,closed_shell,7.872347,187.68,190.47,137.2242,C1,28,2.85672,0.12387594936,0.943,True,25,0
C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N=C(NC2=O)N,neutral,results_chunk_10_of_10,-158.19789,-3.477,5.864,-1.559,6.993,-9.075,-0.634,8.440999999999999,closed_shell,9.075033,262.74,300.1,283.2432,C1,54,-158.19789,-6.85993510407,4.955,True,33,0
C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)CO)O,neutral,results_chunk_10_of_10,-151.68519,-0.465,-4.274,3.573,5.591,-9.385,-0.202,9.183,closed_shell,9.384757,229.3,251.78,227.2194,C1,44,-151.68519,-6.57752489397,1.983,True,29,0
C1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)CO)O,neutral,results_chunk_10_of_10,-71.84792,-0.364,-0.248,-1.265,1.339,-9.094,-0.544,8.549999999999999,closed_shell,9.093611,250.31,277.67,251.2444,C1,48,-71.84792,-3.11554135496,2.956,True,31,0
C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=C(NC3=O)N)CO)O,neutral,results_chunk_10_of_10,-117.52935,-0.32,4.809,3.598,6.015,-8.945,-0.465,8.48,closed_shell,8.945123,261.57,289.43,267.2438,C1,51,-117.52935,-5.09642520405,2.89,True,32,0
CC(C)(C)N=C(N(C)C)N(C)C,neutral,results_chunk_10_of_10,-6.87594,-0.912,0.467,0.256,1.056,-9.018,1.14,10.158000000000001,closed_shell,9.018008,222.87,258.45,171.285,Cs,36,-6.87594,-0.29816138622,1.132,True,33,0
ClC1=CC=C(N=C(N(C)C)N(C)C)C=C1,neutral,results_chunk_10_of_10,29.01637,-4.068,-0.207,1.173,4.239,-8.615,-0.069,8.546,closed_shell,8.615266,254.82,283.42,225.7205,C1,41,29.01637,1.2582368523099998,2.487,True,31,0
C=1C=C2C=CC=C(C2=C(C1)N(C)C)N(C)C,neutral,results_chunk_10_of_10,48.9894,0.673,-2.19,0.07,2.293,-7.725,-0.122,7.603,closed_shell,7.725376,245.99,285.3,214.3096,C2,42,48.9894,2.1243273522,3.653,True,34,0
C=1C=CC2=CC3=CC=CC=C4C=C(C1)N2CCCCCN43,neutral,results_chunk_10_of_10,137.5365,-0.812,-1.489,-0.148,1.702,-7.615,-0.882,6.7330000000000005,closed_shell,7.615361,277.53,342.35,276.3804,C1,53,137.5365,5.963995249499999,3.632,True,41,0
FC1=CC=C(N=C(N(C)C)N(C)C)C=C1,neutral,results_chunk_10_of_10,-8.0881,-3.487,-0.861,-0.647,3.649,-8.591,0.009,8.6,closed_shell,8.590871,243.36,268.17,209.2659,C1,41,-8.0881,-0.3507242803,2.06,True,31,0
N(=C(N(C)C)C)C,neutral,results_chunk_10_of_10,3.61858,0.487,-1.074,1.868,2.209,-8.849,1.268,10.117,closed_shell,8.848882,154.9,149.17,100.1632,C1,21,3.61858,0.15691248454,0.47,True,19,0
N(=C(C=1C=CC=CC1)N(C)C)C,neutral,results_chunk_10_of_10,35.85759,1.289,-0.318,1.82,2.253,-8.729,-0.063,8.665999999999999,closed_shell,8.728903,208.39,221.0,162.234,C1,32,35.85759,1.55489267517,1.485,True,26,0
N(=C(N(C)C)C)C(C)C,neutral,results_chunk_10_of_10,-8.23828,-0.461,-0.138,-1.842,1.903,-8.825,1.281,10.106,closed_shell,8.824895,189.64,194.57,128.2168,C1,27,-8.23828,-0.35723653563999996,0.874,True,25,0
N(=C(C1=CC=C(C=C1)C)N(C)C)C,neutral,results_chunk_10_of_10,30.03454,-1.816,1.082,1.688,2.705,-8.716,0.198,8.914,closed_shell,8.716215,227.8,241.5,176.2608,C1,35,30.03454,1.30238775802,2.454,True,29,0
N(=C(N(C)C)C)C(C)(C)C,neutral,results_chunk_10_of_10,-14.54149,0.157,0.824,-1.714,1.908,-8.819,1.315,10.134,closed_shell,8.818569,201.54,217.12,142.2436,C1,30,-14.54149,-0.63056263087,1.158,True,28,0
N(=C(N(C)C)C)C1CC1,neutral,results_chunk_10_of_10,26.26886,-0.937,-2.309,-0.245,2.504,-8.881,1.154,10.035,closed_shell,8.880721,182.94,183.11,126.201,C1,26,26.26886,1.13909657618,0.669,True,23,0
N(=C(N(C)C)C)CC,neutral,results_chunk_10_of_10,-1.5324,0.453,-0.489,1.896,2.01,-8.834,1.279,10.113,closed_shell,8.83383,174.4,170.61,114.19,C1,24,-1.5324,-0.0664494612,1.04,True,22,0
N(=C(N(C)C)C)CCC,neutral,results_chunk_10_of_10,-7.06825,-0.357,-1.636,-1.222,2.073,-8.827,1.278,10.105,closed_shell,8.82739,194.43,193.4,128.2168,C1,27,-7.06825,-0.30650052475,1.063,True,25,0
N(=C(N(C)C)C)C12CC3CC(CC(C3)C1)C2,neutral,results_chunk_10_of_10,-16.10799,0.377,0.317,-1.834,1.899,-8.745,1.332,10.077,closed_shell,8.745129,255.11,299.0,220.357,C1,45,-16.10799,-0.6984907703700001,2.986,True,40,0
N(=C(N(C)C)C)CCCCC,neutral,results_chunk_10_of_10,-16.96545,2.595,1.196,0.266,2.87,-9.045,1.245,10.29,closed_shell,9.045449,233.88,237.34,156.2704,C1,33,-16.96545,-0.73567280835,1.916,True,31,0
N(=C(N(C)C)C)CCOC,neutral,results_chunk_10_of_10,-36.41102,-3.013,1.192,-2.018,3.817,-9.106,1.126,10.232,closed_shell,9.106384,204.79,204.81,144.2162,C1,30,-36.41102,-1.57889106026,0.975,True,26,0
N(=C(N(C)C)C)CCN(C)C,neutral,results_chunk_10_of_10,3.50227,2.519,0.609,-1.562,3.027,-8.649,1.467,10.116,closed_shell,8.64863,215.14,235.44,157.2582,C1,33,3.50227,0.15186893401,2.282,True,30,0
N(=C(N(C)C)CC)C(C)(C)C,neutral,results_chunk_10_of_10,-18.51333,-2.191,-1.142,0.666,2.559,-8.945,1.249,10.194,closed_shell,8.945421,214.36,240.26,156.2704,C1,33,-18.51333,-0.80279352879,1.116,True,31,0
N(=C(N(C)C)C)CCCCCC,neutral,results_chunk_10_of_10,-22.94708,0.812,1.48,-1.682,2.383,-8.813,1.263,10.076,closed_shell,8.812768,251.72,257.98,170.2972,C1,36,-22.94708,-0.9950542300399999,3.659,True,34,0
N(=C(N(C)C)CC)C(C)C,neutral,results_chunk_10_of_10,-12.50368,0.028,0.869,1.391,1.64,-8.86,1.23,10.09,closed_shell,8.859736,204.3,217.13,142.2436,C1,30,-12.50368,-0.54219707584,1.325,True,28,0
N(=C(N(C)C)C)CCCN(C)C,neutral,results_chunk_10_of_10,-1.46333,2.162,0.035,-2.891,3.61,-8.618,1.486,10.104000000000001,closed_shell,8.6182,233.94,254.43,171.285,C1,36,-1.46333,-0.06345437879,4.078,True,33,0
N(=C(N(C)C)CC)CCCCC,neutral,results_chunk_10_of_10,-19.46586,-2.274,-0.81,1.889,3.066,-8.832,1.302,10.134,closed_shell,8.831981,246.62,259.12,170.2972,C1,36,-19.46586,-0.8440980871799999,1.105,True,34,0
N(=C(N(C)C)N(C)C)C,neutral,results_chunk_10_of_10,13.657,1.227,0.369,1.586,2.039,-8.603,1.342,9.945,closed_shell,8.60262,181.48,187.72,129.2046,C1,27,13.657,0.592208491,0.732,True,24,0
N(=C(N(C)C)N(C)C)C(C)C,neutral,results_chunk_10_of_10,-0.11767,-1.672,-0.743,-1.38,2.292,-8.894,1.228,10.122,closed_shell,8.894249,212.6,233.31,157.2582,C1,33,-0.11767,-0.00510252421,1.33,True,30,0
N(=C(N(C)C)N(C)C)CC,neutral,results_chunk_10_of_10,8.25442,-0.436,1.568,0.827,1.825,-8.589,1.357,9.946,closed_shell,8.588722,200.26,210.56,143.2314,C1,30,8.25442,0.35793641445999996,1.045,True,27,0
N(=CN(C)C)C,neutral,results_chunk_10_of_10,12.45473,-0.366,-2.177,-0.337,2.233,-8.77,1.202,9.972,closed_shell,8.769683,140.18,127.4,86.1364,C1,18,12.45473,0.54007445699,0.284,True,16,0
N(=CN(C)C)C(C)(C)C,neutral,results_chunk_10_of_10,-6.40784,0.472,1.126,1.766,2.147,-8.756,1.214,9.97,closed_shell,8.756249,191.79,195.5,128.2168,C1,27,-6.40784,-0.27786316592,0.794,True,25,0
N(=C(N(CC)CC)C)CCC,neutral,results_chunk_10_of_10,-18.9525,-0.995,-2.031,-0.192,2.27,-8.479,1.484,9.963,closed_shell,8.47881,219.44,235.42,156.2704,C1,33,-18.9525,-0.8218372575,2.273,True,31,0
N(=CN(C)C)C(C)C,neutral,results_chunk_10_of_10,1.09943,-0.716,-1.834,0.436,2.017,-8.764,1.194,9.957999999999998,closed_shell,8.763569,178.76,173.54,114.19,C1,24,1.09943,0.04767458308999999,0.728,True,22,0
N(=CN(C)C)C(C)(C)CC,neutral,results_chunk_10_of_10,-10.67864,0.932,-0.399,-1.709,1.987,-8.72,1.259,9.979000000000001,closed_shell,8.720468,203.76,215.29,142.2436,C1,30,-10.67864,-0.46305786631999996,1.7,True,28,0
N(=CN(C)C)C1CC1,neutral,results_chunk_10_of_10,34.97388,-1.366,0.053,1.939,2.372,-8.772,0.914,9.686,closed_shell,8.77201,169.26,161.33,112.1742,C1,23,34.97388,1.51657235844,0.732,True,20,0
N(=CN(C)C)C1=CC=C(C=C1)C,neutral,results_chunk_10_of_10,31.56512,-1.587,-1.91,0.911,2.645,-8.333,0.127,8.46,closed_shell,8.332908,221.16,220.56,162.234,C1,32,31.56512,1.36875829856,1.219,True,26,0
N(=CN(C)C)C(C)CC,neutral,results_chunk_10_of_10,-4.97913,0.619,1.909,0.959,2.224,-8.75,1.195,9.945,closed_shell,8.750059,193.74,193.38,128.2168,C1,27,-4.97913,-0.21591001418999997,2.117,True,25,0
N(=CN(C)C)C12CC3CC(CC(C3)C1)C2,neutral,results_chunk_10_of_10,-7.62338,0.687,-1.742,1.1,2.172,-8.669,1.226,9.895,closed_shell,8.66898,245.18,276.53,206.3302,C1,42,-7.62338,-0.33057262694,2.005,True,37,0
N(=CN(C)C)C1CCCCC1,neutral,results_chunk_10_of_10,-5.35856,0.022,2.309,0.031,2.309,-8.735,1.177,9.911999999999999,closed_shell,8.735082,212.33,219.29,154.2546,C1,32,-5.35856,-0.23236323728,1.161,True,29,0
N(=CN(C)C)CC,neutral,results_chunk_10_of_10,5.96504,-0.304,-1.194,1.809,2.189,-8.721,1.267,9.988,closed_shell,8.720531,157.56,147.61,100.1632,C1,21,5.96504,0.25866202952,0.859,True,19,0
N(=CN(C)C)CC(C)C,neutral,results_chunk_10_of_10,-3.58829,2.565,1.467,1.478,3.303,-8.705,1.338,10.043,closed_shell,8.705479,193.14,192.94,128.2168,C1,27,-3.58829,-0.15559901927,0.939,True,25,0
N(=CN(C)C)CC=C,neutral,results_chunk_10_of_10,29.39744,-0.38,-0.686,2.066,2.21,-8.768,0.857,9.625,closed_shell,8.76828,173.5,165.06,112.1742,C1,23,29.39744,1.27476119072,1.031,True,20,0
N(=CN(C)C)CC=1C=CC=CC1,neutral,results_chunk_10_of_10,37.82822,0.356,0.935,-2.035,2.267,-8.731,0.105,8.836,closed_shell,8.731244,216.54,222.25,162.234,C1,32,37.82822,1.64034510386,1.679,True,26,0
N(=CN(C)C)CCC,neutral,results_chunk_10_of_10,1.30279,-0.279,-1.961,0.718,2.107,-8.703,1.293,9.995999999999999,closed_shell,8.703097,175.01,169.05,114.19,C1,24,1.30279,0.056492882769999996,1.333,True,22,0
N(=CN(C)C)CCCC,neutral,results_chunk_10_of_10,-3.06609,-1.911,0.333,2.641,3.277,-8.731,1.31,10.041,closed_shell,8.731291,196.68,192.18,128.2168,C1,27,-3.06609,-0.13295486067,0.95,True,25,0
N(=CN(C)C)CCCCC,neutral,results_chunk_10_of_10,-8.28442,0.255,-2.078,0.81,2.244,-8.758,1.173,9.931,closed_shell,8.757734,216.61,215.2,142.2436,C1,30,-8.28442,-0.35923730446,1.169,True,28,0
N(=CN(C)C)CCCN(C)C,neutral,results_chunk_10_of_10,9.30871,2.665,2.372,1.264,3.785,-8.553,1.284,9.837000000000002,closed_shell,8.552741,227.67,230.83,157.2582,C1,33,9.30871,0.40365359173,1.589,True,30,0
N(=CN(C)C)CCN(C)C,neutral,results_chunk_10_of_10,13.12655,1.399,0.845,2.025,2.603,-8.67,1.328,9.998,closed_shell,8.670304,209.09,209.46,143.2314,C1,30,13.12655,0.56920658765,1.075,True,27,0
N(=CN(C)C)CCOC,neutral,results_chunk_10_of_10,-28.63032,0.895,3.018,0.564,3.198,-8.658,1.328,9.985999999999999,closed_shell,8.65834,186.44,183.14,130.1894,C1,27,-28.63032,-1.24149656616,0.857,True,23,0
N(=CN(C)C)N(C)C,neutral,results_chunk_10_of_10,27.46739,-1.172,-0.16,0.449,1.265,-8.43,1.127,9.557,closed_shell,8.430316,174.26,167.21,115.1778,C1,24,27.46739,1.19106843257,0.58,True,21,0
N(C(C)(C)C)C(C)(C)C,neutral,results_chunk_10_of_10,-39.04757,-0.09,0.375,1.13,1.194,-8.644,3.205,11.849,closed_shell,8.643593,186.55,205.07,129.2448,C1,28,-39.04757,-1.69321977791,0.708,True,28,0
N(C)(C)CCN(C)C,neutral,results_chunk_10_of_10,-4.6566,-0.0,-0.0,-0.0,0.0,-8.697,2.723,11.419999999999998,closed_shell,8.696894,182.28,179.84,116.2058,Ci,25,-4.6566,-0.2019241458,0.43,True,24,0
N(C)CCNC,neutral,results_chunk_10_of_10,-1.51918,-0.207,-0.162,0.081,0.275,-9.005,2.88,11.885000000000002,closed_shell,9.004692,147.52,134.72,88.1522,C1,19,-1.51918,-0.06587620234,0.29,True,18,0
N(C)(C)C12CC3CC(CC(C3)C1)C2,neutral,results_chunk_10_of_10,-23.78995,-0.061,-1.265,-0.67,1.433,-8.51,2.969,11.479,closed_shell,8.509649,209.02,242.04,179.3046,C1,37,-23.78995,-1.03160360185,1.277,True,34,0
N(C)(C)CCCN(C)C,neutral,results_chunk_10_of_10,-10.48906,1.793,0.952,2.513,3.23,-8.506,2.919,11.425,closed_shell,8.505992,194.23,203.77,130.2326,C1,28,-10.48906,-0.45483710878,1.048,True,27,0
N(=CN(C)C)CCCCCC,neutral,results_chunk_10_of_10,-14.08854,-0.436,1.607,1.42,2.189,-8.72,1.256,9.976,closed_shell,8.720012,238.3,235.29,156.2704,C1,33,-14.08854,-0.61092136002,4.016,True,31,0
N(C)(C)CCCCN(C)C,neutral,results_chunk_10_of_10,-15.51126,-0.497,0.845,-2.681,2.854,-8.68,2.906,11.586,closed_shell,8.68013,217.68,224.31,144.2594,C1,31,-15.51126,-0.67261476738,1.576,True,30,0
N(CC)(C(C)C)C(C)C,neutral,results_chunk_10_of_10,-31.33742,-0.131,-0.534,1.035,1.172,-8.429,2.971,11.4,closed_shell,8.429312,188.85,203.83,129.2448,C1,28,-31.33742,-1.35888454346,0.689,True,28,0
N(CC(C)(C)C)C(C)(C)C,neutral,results_chunk_10_of_10,-46.0119,-0.039,0.069,-1.431,1.434,-8.699,3.292,11.991,closed_shell,8.698763,211.09,230.85,143.2716,C1,31,-46.0119,-1.9952140197,1.441,True,31,0
N(CC)(CC)C(C)C,neutral,results_chunk_10_of_10,-27.07243,0.481,-0.36,1.143,1.291,-8.497,2.96,11.457,closed_shell,8.496747,176.37,183.86,115.218,C1,25,-27.07243,-1.17394178209,0.617,True,25,0
N(C=1C=CC=CC1)=C(N(C)C)N(C)C,neutral,results_chunk_10_of_10,38.93358,-1.809,-1.211,-0.946,2.374,-8.468,0.333,8.801,closed_shell,8.468145,235.79,258.84,191.2754,C1,38,38.93358,1.68827682954,1.726,True,31,0
N12CCC(CC1)CC2C,neutral,results_chunk_10_of_10,-12.71688,-0.837,-1.159,-0.856,1.666,-8.836,3.122,11.958,closed_shell,8.835871,166.04,175.47,125.2132,C1,26,-12.71688,-0.55144206744,0.463,True,24,0
N1=C2C=C(C=CN2C=C1C)C,neutral,results_chunk_10_of_10,40.21417,-2.22,-0.034,-2.779,3.557,-8.742,-0.489,8.253,closed_shell,8.741971,187.91,186.2,146.1914,Cs,28,40.21417,1.74380705371,0.283,True,21,0
N1=C2C=CC=C(N2C(=C1C)C)C,neutral,results_chunk_10_of_10,32.6569,-1.564,-4.209,0.78,4.557,-8.434,-0.318,8.116,closed_shell,8.434498,198.06,205.64,160.2182,Cs,31,32.6569,1.4161011547,0.448,True,24,0
N1=C2C=CC=C(N2C=C1C)C,neutral,results_chunk_10_of_10,39.77601,-2.065,3.445,0.475,4.044,-8.753,-0.425,8.328,closed_shell,8.753274,185.58,185.94,146.1914,Cs,28,39.77601,1.7248071216299998,0.292,True,21,0
N1=C2C=CC=CN2C(=C1C)C,neutral,results_chunk_10_of_10,41.15028,0.187,3.777,-0.495,3.814,-8.597,-0.481,8.116,closed_shell,8.596654,184.82,186.34,146.1914,Cs,28,41.15028,1.78439959164,0.318,True,21,0
N(C1=CC=C(C=C1)C)=C(N(C)C)N(C)C,neutral,results_chunk_10_of_10,29.78156,-1.24,-1.449,0.82,2.076,-8.3,0.414,8.714,closed_shell,8.300216,254.21,279.35,205.3022,C1,41,29.78156,1.2914177862799998,4.143,True,34,0
N1=C2C=CC=CN2C=C1C,neutral,results_chunk_10_of_10,50.05943,-1.57,-2.602,1.156,3.251,-8.923,-0.59,8.333,closed_shell,8.922531,168.64,164.2,132.1646,Cs,25,50.05943,2.1707270630899997,0.208,True,18,0
N(C)(C)CCCCCCN(C)C,neutral,results_chunk_10_of_10,-24.76254,-1.736,-0.413,-1.727,2.483,-8.649,2.992,11.640999999999998,closed_shell,8.649299,252.4,267.05,172.313,C1,37,-24.76254,-1.07377802202,5.459,True,36,0
N1=C2N(C)CCCN2CCC1,neutral,results_chunk_10_of_10,16.20443,0.004,2.987,-1.944,3.564,-8.468,1.443,9.911,closed_shell,8.467916,190.33,198.69,153.2266,C1,31,16.20443,0.7026726980899999,0.748,True,26,0
N(C1=CC=C(OC)C=C1)=C(N(C)C)N(C)C,neutral,results_chunk_10_of_10,0.51204,-0.69,-2.571,0.32,2.681,-8.106,0.29,8.395999999999999,closed_shell,8.106002,265.4,292.01,221.3016,C1,44,0.51204,0.02220359052,4.83,True,35,0
N(CCC)(CCC)CCC,neutral,results_chunk_10_of_10,-37.20844,-0.24,0.449,-1.263,1.361,-8.605,2.899,11.504000000000001,closed_shell,8.604993,221.78,230.4,143.2716,C3,31,-37.20844,-1.6134695837200002,3.075,True,31,0
N1=C2N(CCC1)CCC2,neutral,results_chunk_10_of_10,8.7663,0.213,3.479,0.55,3.529,-8.71,1.42,10.13,closed_shell,8.709713,164.0,162.99,124.1852,C1,25,8.7663,0.3801330669,0.481,True,21,0
N1=C2N(CCC1)CCCCC2,neutral,results_chunk_10_of_10,1.265,0.522,3.075,-1.098,3.306,-8.536,1.474,10.01,closed_shell,8.535827,191.54,202.01,152.2388,C1,31,1.265,0.054854194999999994,0.737,True,27,0
N1=C2N(CC)CCCN2CCC1,neutral,results_chunk_10_of_10,9.24363,1.421,2.561,1.014,3.099,-8.38,1.616,9.996,closed_shell,8.380352,205.96,221.67,167.2534,C1,34,9.24363,0.40083152768999997,2.153,True,29,0
N1(C)C(CCCC1C(C)(C)C)C(C)(C)C,neutral,results_chunk_10_of_10,-45.3041,0.01,-1.147,0.523,1.261,-8.224,2.971,11.195,closed_shell,8.223788,252.51,315.84,211.3898,C1,45,-45.3041,-1.9645216882999998,4.338,True,44,0
N1=C2NCCCN2CCC1,neutral,results_chunk_10_of_10,16.40644,-2.427,-3.273,-0.552,4.112,-8.455,1.469,9.924,closed_shell,8.454756,174.43,176.38,139.1998,C1,28,16.40644,0.71143245772,0.506,True,23,0
N1=CNC(=C1)CCN,neutral,results_chunk_10_of_10,24.03403,-6.291,0.921,0.912,6.423,-9.011,0.916,9.927,closed_shell,9.011282,150.39,142.59,111.1462,C1,22,24.03403,1.04218764289,0.278,True,17,0
N1=C2N(CCC1)CCCN2C(C)C,neutral,results_chunk_10_of_10,3.73464,-1.29,1.223,2.923,3.421,-8.278,1.569,9.847000000000001,closed_shell,8.278027,222.56,241.83,181.2802,C1,37,3.73464,0.16194519432,1.383,True,32,0
N1=CNC(C)(C)C1,neutral,results_chunk_10_of_10,7.05137,-2.863,-0.912,1.723,3.464,-9.125,1.107,10.232,closed_shell,9.125324,140.31,137.28,98.1474,C1,20,7.05137,0.30576855731,0.217,True,17,0
N1=CNCCC1,neutral,results_chunk_10_of_10,13.01061,-1.58,-2.817,0.988,3.378,-8.975,1.294,10.269,closed_shell,8.975152,121.87,111.28,84.1206,C1,17,13.01061,0.56417908143,0.108,True,14,0
N(CCCC)(CCCC)CCCC,neutral,results_chunk_10_of_10,-53.32287,-0.361,-0.72,1.036,1.312,-8.553,2.909,11.462,closed_shell,8.552893,279.11,292.84,185.352,C1,40,-53.32287,-2.31223961181,5.612,True,40,0
N1=CNC(=C1)CCN(C)C,neutral,results_chunk_10_of_10,25.54292,-3.441,0.079,-2.312,4.147,-9.037,0.629,9.666,closed_shell,9.037036,192.03,191.61,139.1998,C1,28,25.54292,1.10761763996,0.845,True,23,0
N=1C=CC(=CC1)N(C)C,neutral,results_chunk_10_of_10,29.52837,-4.396,0.562,2.024,4.873,-8.683,0.106,8.789,closed_shell,8.682936,163.27,161.22,122.1694,Cs,24,29.52837,1.28043870831,0.358,True,19,0
N1=C2NC(C)(C)CCC2(C)CCC1(C)C,neutral,results_chunk_10_of_10,-34.69734,-1.332,1.981,1.073,2.617,-8.748,1.448,10.196,closed_shell,8.747622,247.64,295.26,208.346,C1,43,-34.69734,-1.5045807544199998,2.196,True,39,0
N=1C=CN(C1)C(C)(C)C,neutral,results_chunk_10_of_10,11.65353,-5.101,-1.929,0.053,5.454,-9.236,0.81,10.046000000000001,closed_shell,9.235877,168.38,174.93,124.1852,Cs,25,11.65353,0.50533202139,0.283,True,21,0
N1C(C)(C)CCCC1(C)C,neutral,results_chunk_10_of_10,-36.45164,0.117,1.137,-0.595,1.288,-8.663,3.323,11.986,closed_shell,8.663264,190.31,210.5,141.2558,Cs,30,-36.45164,-1.5806524653199998,0.684,True,29,0
N=1C=CN(C1C)C,neutral,results_chunk_10_of_10,23.07484,0.685,4.679,-1.42,4.938,-9.055,0.84,9.895,closed_shell,9.054628,138.66,130.3,96.1316,Cs,19,23.07484,1.00059428692,0.13,True,15,0
N=1C=CN2C1C=CC=C2C,neutral,results_chunk_10_of_10,49.08483,-2.157,4.146,-0.284,4.682,-8.873,-0.539,8.334,closed_shell,8.87329,165.48,164.82,132.1646,Cs,25,49.08483,2.12846548329,0.191,True,18,0
N=1C=CN2C=CC(=CC12)C,neutral,results_chunk_10_of_10,49.5352,-2.236,3.287,1.848,4.384,-8.873,-0.603,8.27,closed_shell,8.873341,167.56,165.05,132.1646,Cs,25,49.5352,2.1479948776,0.214,True,18,0
N=C(N)N,neutral,results_chunk_10_of_10,12.82248,2.239,-1.662,-0.252,2.8,-9.749,1.205,10.954,closed_shell,9.748511,95.58,77.59,59.0706,C1,12,12.82248,0.55602120024,0.053,True,9,0
N=C(N(C)C)N(C)C,neutral,results_chunk_10_of_10,15.19314,1.446,-1.718,0.474,2.295,-9.005,1.238,10.243,closed_shell,9.005062,165.89,165.23,115.1778,C1,24,15.19314,0.6588201298199999,0.554,True,21,0
NC1CN2CCC1CC2,neutral,results_chunk_10_of_10,1.05587,1.771,1.889,-1.119,2.821,-8.844,3.034,11.878,closed_shell,8.844419,162.14,170.11,126.201,C1,26,1.05587,0.04578569081,0.416,True,23,0
NCCCN,neutral,results_chunk_10_of_10,-4.81632,-0.277,-1.539,0.883,1.796,-9.343,3.411,12.754,closed_shell,9.343442,125.0,111.03,74.1254,C1,16,-4.81632,-0.20885008416,0.158,True,15,0
NCCCCCN,neutral,results_chunk_10_of_10,-14.39192,-0.906,-0.315,0.909,1.321,-9.346,3.481,12.827,closed_shell,9.34562,162.32,155.49,102.179,C1,22,-14.39192,-0.62407682696,0.54,True,21,0
NCCCCN,neutral,results_chunk_10_of_10,-9.92839,-0.466,-0.521,0.329,0.772,-9.399,3.366,12.764999999999999,closed_shell,9.39918,145.26,132.95,88.1522,C1,19,-9.92839,-0.43052477557,0.343,True,18,0
NCCCCCCN,neutral,results_chunk_10_of_10,-21.52596,-2.087,-2.367,-1.273,3.403,-9.351,3.516,12.867,closed_shell,9.351027,183.7,176.85,116.2058,C1,25,-21.52596,-0.93343020348,0.734,True,24,0
NCCCN(C)C,neutral,results_chunk_10_of_10,-6.91484,-0.641,-1.123,-1.552,2.02,-8.858,2.878,11.736,closed_shell,8.857749,163.77,156.23,102.179,C1,22,-6.91484,-0.29984820691999997,0.456,True,21,0
O=C(O)C(N)CC1=CN=CN1,neutral,results_chunk_10_of_10,-60.36075,-0.94,0.323,-2.029,2.26,-9.634,0.209,9.843,closed_shell,9.633615,181.67,183.33,155.156,C1,30,-60.36075,-2.61742320225,0.668,True,20,0
N1C(CCCC1C(C)(C)C)C(C)(C)C,neutral,results_chunk_10_of_10,-51.9808,-0.653,-0.016,1.445,1.585,-8.439,3.362,11.801,closed_shell,8.438897,249.49,297.66,197.363,C1,42,-51.9808,-2.2540434304,2.593,True,41,0
NCCCCCCCN,neutral,results_chunk_10_of_10,-28.88363,3.374,-1.315,-0.193,3.627,-8.984,3.366,12.35,closed_shell,8.98395,183.93,194.93,130.2326,C1,28,-28.88363,-1.25248084769,1.942,True,27,0
