neutral_smiles,smiles,protonation_site_index,protonation_site_element,molecule_type,chunk,heat_of_formation,dipole_x,dipole_y,dipole_z,dipole_moment,alpha_somo_ev,alpha_lumo_ev,beta_somo_ev,beta_lumo_ev,homo_ev,lumo_ev,gap_ev,spin_state,ionization_potential,cosmo_area,cosmo_volume,molecular_weight,point_group,charge,alpha_electrons,beta_electrons,unpaired_electrons,multiplicity,total_energy_kcal_mol,total_energy_ev,computation_time,success,num_atoms,input_charge,site_index,site_element,parent_neutral
C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])[n+]([H])c32)[C@]([H])(O[H])[C@]1([H])O[H],5,N,protonated,results_chunk_10_of_10,24.33565,0.106,-1.35,2.511,2.853,-13.021,-4.67,-13.021,-4.67,-13.021,-4.67,8.351,open_shell,13.02129,257.58,289.54,268.2517,C1,1,51,51,0,1,24.33565,1.05526679095,3.887,True,33,1,5,N,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N
C(C[C@@H](C(=O)O)N)CNC(=N)N,[H]N=C(N([H])[H])N([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])[N+]([H])([H])[H],6,N,protonated,results_chunk_10_of_10,54.4256,-0.839,1.472,-1.928,2.567,-13.168,-3.446,-13.168,-3.446,-13.168,-3.446,9.722,open_shell,13.168414,200.13,216.4,175.2101,C1,1,35,35,0,1,54.4256,2.3600572928,4.515,True,27,1,6,N,C(C[C@@H](C(=O)O)N)CNC(=N)N
C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N,[H]OC([H])([H])[C@@]1([H])[O+]([H])[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H],13,O,protonated,results_chunk_10_of_10,26.59642,0.45,3.841,-1.545,4.164,-13.038,-4.699,-13.038,-4.699,-13.038,-4.699,8.339,open_shell,13.037815,257.2,288.99,268.2517,C1,1,51,51,0,1,26.59642,1.15330056046,4.408,True,33,1,13,O,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N
C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])[n+]([H])c([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H],1,N,protonated,results_chunk_10_of_10,40.4193,12.002,-2.768,1.991,12.477,-13.223,-5.103,-13.223,-5.103,-13.223,-5.103,8.120000000000001,open_shell,13.222843,262.09,290.03,268.2517,C1,1,51,51,0,1,40.4193,1.7527021058999999,5.324,True,33,1,1,N,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N
C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])[O+]([H])[H],15,O,protonated,results_chunk_10_of_10,24.33564,0.821,-1.658,2.173,2.853,-13.021,-4.67,-13.021,-4.67,-13.021,-4.67,8.351,open_shell,13.02136,257.55,289.8,268.2517,C1,1,51,51,0,1,24.33564,1.05526635732,4.803,True,33,1,15,O,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N
C1CC=C2NCCCN2C1,[H]C1=C2N(C([H])([H])C([H])([H])C1([H])[H])C([H])([H])C([H])([H])C([H])([H])[N+]2([H])[H],4,N,protonated,results_chunk_10_of_10,156.65978,4.894,2.152,0.085,5.347,-12.73,-3.749,-12.73,-3.749,-12.73,-3.749,8.981,open_shell,12.729622,178.94,185.01,139.2199,C1,1,28,28,0,1,156.65978,6.79323804014,1.256,True,25,1,4,N,C1CC=C2NCCCN2C1
C1CC=C2NCCCN2C1,[H]C1=C2N([H])C([H])([H])C([H])([H])C([H])([H])[N+]2([H])C([H])([H])C([H])([H])C1([H])[H],8,N,protonated,results_chunk_10_of_10,155.49173,-0.058,-2.048,0.52,2.114,-13.004,-3.744,-13.004,-3.744,-13.004,-3.744,9.26,open_shell,13.003678,178.51,186.31,139.2199,C1,1,28,28,0,1,155.49173,6.742587887989999,1.218,True,25,1,8,N,C1CC=C2NCCCN2C1
C(C[C@@H](C(=O)O)N)CNC(=N)N,[H]N=C(N([H])[H])N([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)[O+]([H])[H])N([H])[H],5,O,protonated,results_chunk_10_of_10,79.52711,-1.57,0.394,2.614,3.075,-13.082,-4.623,-13.082,-4.623,-13.082,-4.623,8.459,open_shell,13.081503,205.65,220.88,175.2101,C1,1,35,35,0,1,79.52711,3.4485340709299996,5.859,True,27,1,5,O,C(C[C@@H](C(=O)O)N)CNC(=N)N
C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])([O+]([H])[H])[C@]1([H])O[H],17,O,protonated,results_chunk_10_of_10,63.92885,-7.119,-2.474,5.513,9.338,-11.907,-5.178,-11.907,-5.178,-11.907,-5.178,6.729,open_shell,11.907149,252.43,286.14,268.2517,C1,1,51,51,0,1,63.92885,2.7721467225499996,5.743,True,33,1,17,O,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N
C1CCN(C1)C2=CCCC2,[H]C1=C([N+]2([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C([H])([H])C1([H])[H],3,N,protonated,results_chunk_10_of_10,146.13732,-2.0,1.794,-0.64,2.762,-13.866,-3.801,-13.866,-3.801,-13.866,-3.801,10.065,open_shell,13.865544,190.68,194.53,138.2321,C1,1,28,28,0,1,146.13732,6.33695260716,1.849,True,26,1,3,N,C1CCN(C1)C2=CCCC2
