neutral_smiles,smiles,protonation_site_index,protonation_site_element,molecule_type,chunk,heat_of_formation,dipole_x,dipole_y,dipole_z,dipole_moment,alpha_somo_ev,alpha_lumo_ev,beta_somo_ev,beta_lumo_ev,homo_ev,lumo_ev,gap_ev,spin_state,ionization_potential,cosmo_area,cosmo_volume,molecular_weight,point_group,charge,alpha_electrons,beta_electrons,unpaired_electrons,multiplicity,total_energy_kcal_mol,total_energy_ev,computation_time,success,num_atoms,input_charge,site_index,site_element,parent_neutral
O1CC=CC1,[H]C1=C([H])C([H])([H])[O+]([H])C1([H])[H],0,O,protonated,results_chunk_2_of_10,160.46105,-0.013,-0.682,2.235,2.337,-15.528,-6.049,-15.528,-6.049,-15.528,-6.049,9.479,open_shell,15.528396,110.36,96.52,71.0987,C1,1,14,14,0,1,160.46105,6.95807251115,0.132,True,12,1,0,O,O1CC=CC1
O(CC)CC,[H][O+](C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H],0,O,protonated,results_chunk_2_of_10,115.89995,0.272,0.816,-1.526,1.751,-17.089,-5.638,-17.089,-5.638,-17.089,-5.638,11.450999999999999,open_shell,17.088961,130.08,116.79,75.1303,C1,1,16,16,0,1,115.89995,5.02576953185,0.437,True,16,1,0,O,O(CC)CC
O(C)CC(C)(C)C,[H][O+](C([H])([H])[H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],0,O,protonated,results_chunk_2_of_10,106.97213,4.263,-1.443,-1.246,4.67,-16.12,-5.499,-16.12,-5.499,-16.12,-5.499,10.621000000000002,open_shell,16.119774,160.29,160.78,103.1839,C1,1,22,22,0,1,106.97213,4.63863247319,0.648,True,22,1,0,O,O(C)CC(C)(C)C
O(C)CC=1C=CC=CC1,[H]c1c([H])c([H])c(C([H])([H])[O+]([H])C([H])([H])[H])c([H])c1[H],0,O,protonated,results_chunk_2_of_10,155.79201,5.637,1.552,-1.451,6.024,-13.864,-5.732,-13.864,-5.732,-13.864,-5.732,8.132000000000001,open_shell,13.864369,171.62,169.1,123.1743,C1,1,24,24,0,1,155.79201,6.75560892963,0.655,True,20,1,0,O,O(C)CC=1C=CC=CC1
O(C)CCCC,[H][O+](C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],0,O,protonated,results_chunk_2_of_10,117.61011,-6.277,-1.382,-0.347,6.437,-15.282,-5.895,-15.282,-5.895,-15.282,-5.895,9.387,open_shell,15.281911,152.18,139.71,89.1571,C1,1,19,19,0,1,117.61011,5.09992719993,0.515,True,19,1,0,O,O(C)CCCC
O1CCCC1,[H][O+]1C([H])([H])C([H])([H])C([H])([H])C1([H])[H],0,O,protonated,results_chunk_2_of_10,128.45429,-0.748,0.43,1.387,1.633,-16.538,-5.696,-16.538,-5.696,-16.538,-5.696,10.842,open_shell,16.537916,115.76,103.52,73.1145,Cs,1,15,15,0,1,128.45429,5.570163377269999,0.249,True,14,1,0,O,O1CCCC1
O1CCCCC1,[H][O+]1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],0,O,protonated,results_chunk_2_of_10,118.80098,0.265,1.276,1.391,1.906,-16.323,-5.549,-16.323,-5.549,-16.323,-5.549,10.774000000000001,open_shell,16.322967,129.36,122.77,87.1413,Cs,1,18,18,0,1,118.80098,5.151566895739999,0.253,True,17,1,0,O,O1CCCCC1
N#CCCOCCC#N,[H][N+]#CC([H])([H])C([H])([H])OC([H])([H])C([H])([H])C#N,0,N,protonated,results_chunk_2_of_10,165.80248,5.046,-0.568,-1.016,5.178,-14.611,-5.003,-14.611,-5.003,-14.611,-5.003,9.608,open_shell,14.611134,164.55,162.74,125.1499,C1,1,24,24,0,1,165.80248,7.18969294024,0.906,True,18,1,0,N,N#CCCOCCC#N
O1COCCC1,[H][O+]1C([H])([H])OC([H])([H])C([H])([H])C1([H])[H],0,O,protonated,results_chunk_2_of_10,92.05401,0.824,-1.839,-0.411,2.056,-16.181,-5.493,-16.181,-5.493,-16.181,-5.493,10.688,open_shell,16.181471,123.26,114.07,89.1139,C1,1,18,18,0,1,92.05401,3.99173803563,0.206,True,15,1,0,O,O1COCCC1
N#CC1=CC=CC(=C1)C(=O)OC,[H]c1c([H])c(C#N)c([H])c(C(=O)[O+]([H])C([H])([H])[H])c1[H],10,O,protonated,results_chunk_2_of_10,154.01702,-5.052,-4.546,2.807,7.353,-14.632,-6.244,-14.632,-6.244,-14.632,-6.244,8.388,open_shell,14.63194,200.86,204.57,162.1677,C1,1,30,30,0,1,154.01702,6.67864003826,1.399,True,20,1,10,O,N#CC1=CC=CC(=C1)C(=O)OC
N#CCCOCCC#N,[H][O+](C([H])([H])C([H])([H])C#N)C([H])([H])C([H])([H])C#N,4,O,protonated,results_chunk_2_of_10,199.10947,-1.637,3.052,1.498,3.774,-16.825,-6.393,-16.825,-6.393,-16.825,-6.393,10.431999999999999,open_shell,16.825301,175.52,169.41,125.1499,C1,1,24,24,0,1,199.10947,8.63398394761,0.964,True,18,1,4,O,N#CCCOCCC#N
O1P2OCC(O2)C1,[H][O+]1P2OC([H])([H])C1([H])C([H])([H])O2,5,O,protonated,results_chunk_2_of_10,22.46445,-1.346,-2.551,2.498,3.815,-15.001,-6.314,-15.001,-6.314,-15.001,-6.314,8.687,open_shell,15.000807,126.67,120.23,121.0524,C1,1,20,20,0,1,22.46445,0.97412594535,0.215,True,13,1,5,O,O1P2OCC(O2)C1
O1P2OCC(O2)C1,[H]C1([H])O[P+]2([H])OC([H])([H])C1([H])O2,1,P,protonated,results_chunk_2_of_10,12.49186,-0.13,0.176,0.329,0.395,-15.181,-4.921,-15.181,-4.921,-15.181,-4.921,10.259999999999998,open_shell,15.180826,124.63,116.26,121.0524,Cs,1,20,20,0,1,12.49186,0.54168452518,0.247,True,13,1,1,P,O1P2OCC(O2)C1
O1P2OCC(O2)C1,[H][O+]1P2OC([H])([H])C([H])(O2)C1([H])[H],0,O,protonated,results_chunk_2_of_10,19.08553,-1.249,-0.542,-3.328,3.596,-15.267,-6.312,-15.267,-6.312,-15.267,-6.312,8.954999999999998,open_shell,15.266688,126.87,120.94,121.0524,C1,1,20,20,0,1,19.08553,0.8276058373899999,0.251,True,13,1,0,O,O1P2OCC(O2)C1
O(CC=C)CC=C,[H]C([H])=C([H])C([H])([H])[O+]([H])C([H])([H])C([H])=C([H])[H],0,O,protonated,results_chunk_2_of_10,160.94867,-0.192,-0.58,0.441,0.753,-15.097,-5.682,-15.097,-5.682,-15.097,-5.682,9.415,open_shell,15.096779,159.85,150.92,99.1523,C1,1,20,20,0,1,160.94867,6.97921717721,0.676,True,18,1,0,O,O(CC=C)CC=C
O1P2OCC(O2)(C)C1,[H]C([H])([H])C12O[P+]([H])(OC1([H])[H])OC2([H])[H],1,P,protonated,results_chunk_2_of_10,-0.68204,-0.299,0.238,0.48,0.614,-15.017,-4.783,-15.017,-4.783,-15.017,-4.783,10.233999999999998,open_shell,15.016568,142.37,139.1,135.0792,Cs,1,23,23,0,1,-0.68204,-0.029575300519999997,0.467,True,16,1,1,P,O1P2OCC(O2)(C)C1
O=C(C)C,[H][O+]=C(C([H])([H])[H])C([H])([H])[H],0,O,protonated,results_chunk_2_of_10,118.4599,-1.325,-1.011,-0.609,1.775,-18.776,-6.382,-18.776,-6.382,-18.776,-6.382,12.394,open_shell,18.775854,103.74,87.16,59.0877,C1,1,12,12,0,1,118.4599,5.1367766437,0.28,True,11,1,0,O,O=C(C)C
O1P2OCC(O2)(C)C1,[H][O+]1P2OC([H])([H])C(C([H])([H])[H])(O2)C1([H])[H],0,O,protonated,results_chunk_2_of_10,6.13424,0.833,-3.316,0.493,3.454,-15.141,-6.177,-15.141,-6.177,-15.141,-6.177,8.964,open_shell,15.140654,144.59,143.2,135.0792,C1,1,23,23,0,1,6.13424,0.26599904912,0.487,True,16,1,0,O,O1P2OCC(O2)(C)C1
O=C(O)C(=C)C,[H]OC(=[O+][H])C(=C([H])[H])C([H])([H])[H],0,O,protonated,results_chunk_2_of_10,95.31338,1.362,1.736,-0.862,2.369,-15.781,-6.458,-15.781,-6.458,-15.781,-6.458,9.323,open_shell,15.780609,125.91,113.63,87.0981,C1,1,17,17,0,1,95.31338,4.13307409694,0.226,True,13,1,0,O,O=C(O)C(=C)C
O1P2OCC(O2)(C)C1,[H][O+]1P2OC([H])([H])C1(C([H])([H])[H])C([H])([H])O2,5,O,protonated,results_chunk_2_of_10,7.91034,2.041,-3.203,-0.066,3.798,-14.828,-6.134,-14.828,-6.134,-14.828,-6.134,8.693999999999999,open_shell,14.82759,143.27,142.77,135.0792,C1,1,23,23,0,1,7.91034,0.34301607341999996,0.513,True,16,1,5,O,O1P2OCC(O2)(C)C1
O=C(C(=O)C)C,[H][O+]=C(C(=O)C([H])([H])[H])C([H])([H])[H],0,O,protonated,results_chunk_2_of_10,100.07649,-3.155,1.505,4.041,5.343,-15.852,-6.521,-15.852,-6.521,-15.852,-6.521,9.331,open_shell,15.851684,127.99,115.03,87.0981,C1,1,17,17,0,1,100.07649,4.33961683587,0.57,True,13,1,0,O,O=C(C(=O)C)C
O=C(C)CC,[H][O+]=C(C([H])([H])[H])C([H])([H])C([H])([H])[H],0,O,protonated,results_chunk_2_of_10,112.44332,-2.402,0.479,0.745,2.56,-16.984,-6.228,-16.984,-6.228,-16.984,-6.228,10.756000000000002,open_shell,16.983831,121.48,108.51,73.1145,Cs,1,15,15,0,1,112.44332,4.87587968516,0.517,True,14,1,0,O,O=C(C)CC
O=C(O)C1CC1,[H][O+]([H])C(=O)C1([H])C([H])([H])C1([H])[H],2,O,protonated,results_chunk_2_of_10,102.83881,0.401,-0.837,-0.18,0.945,-17.058,-5.732,-17.058,-5.732,-17.058,-5.732,11.326,open_shell,17.058031,127.96,115.02,87.0981,C1,1,17,17,0,1,102.83881,4.45939931803,0.314,True,13,1,2,O,O=C(O)C1CC1
O=C(O)C1CC1,[H]OC(=[O+][H])C1([H])C([H])([H])C1([H])[H],0,O,protonated,results_chunk_2_of_10,103.46309,2.074,-0.997,0.363,2.33,-17.016,-6.053,-17.016,-6.053,-17.016,-6.053,10.962999999999997,open_shell,17.015993,124.26,111.12,87.0981,Cs,1,17,17,0,1,103.46309,4.48646997167,0.342,True,13,1,0,O,O=C(O)C1CC1
O=C(O)C1CCC1,[H]OC(=[O+][H])C1([H])C([H])([H])C([H])([H])C1([H])[H],0,O,protonated,results_chunk_2_of_10,90.14415,5.689,0.069,-0.448,5.707,-15.597,-5.97,-15.597,-5.97,-15.597,-5.97,9.626999999999999,open_shell,15.59743,139.78,130.33,101.1249,C1,1,20,20,0,1,90.14415,3.9089207764499996,0.4,True,16,1,0,O,O=C(O)C1CCC1
N#CCCOCC,[H][O+](C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C#N,4,O,protonated,results_chunk_2_of_10,155.70235,-4.294,0.924,-4.514,6.298,-16.795,-5.978,-16.795,-5.978,-16.795,-5.978,10.817000000000002,open_shell,16.795107,155.7,143.47,100.1401,C1,1,20,20,0,1,155.70235,6.751721003049999,1.733,True,17,1,4,O,N#CCCOCC
O=C(O)C(=C)C,[H]C([H])=C(C(=O)[O+]([H])[H])C([H])([H])[H],2,O,protonated,results_chunk_2_of_10,92.11962,0.7,0.896,-0.244,1.163,-15.808,-6.149,-15.808,-6.149,-15.808,-6.149,9.658999999999999,open_shell,15.808057,131.55,118.24,87.0981,C1,1,17,17,0,1,92.11962,3.9945830820599997,0.664,True,13,1,2,O,O=C(O)C(=C)C
O=C(C)CC(O)(C)C,[H][O+]([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C(=O)C([H])([H])[H],5,O,protonated,results_chunk_2_of_10,41.65802,2.18,-2.401,-0.137,3.246,-15.994,-5.374,-15.994,-5.374,-15.994,-5.374,10.620000000000001,open_shell,15.994098,161.61,161.54,117.1675,C1,1,24,24,0,1,41.65802,1.80641672126,0.757,True,21,1,5,O,O=C(C)CC(O)(C)C
O=C(O)C1CCC1,[H][O+]([H])C(=O)C1([H])C([H])([H])C([H])([H])C1([H])[H],2,O,protonated,results_chunk_2_of_10,85.23275,2.635,-0.04,0.094,2.637,-15.93,-5.682,-15.93,-5.682,-15.93,-5.682,10.248,open_shell,15.930302,147.32,134.34,101.1249,Cs,1,20,20,0,1,85.23275,3.6959477382499997,0.466,True,16,1,2,O,O=C(O)C1CCC1
O=C(C)CC(O)(C)C,[H]OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C(=[O+][H])C([H])([H])[H],0,O,protonated,results_chunk_2_of_10,47.96728,3.822,0.025,1.183,4.001,-15.225,-5.626,-15.225,-5.626,-15.225,-5.626,9.599,open_shell,15.224757,161.97,163.44,117.1675,C1,1,24,24,0,1,47.96728,2.08000516264,0.775,True,21,1,0,O,O=C(C)CC(O)(C)C
O=C(O)C1=CC=CC(=C1)C,[H]OC(=[O+][H])c1c([H])c([H])c([H])c(C([H])([H])[H])c1[H],0,O,protonated,results_chunk_2_of_10,98.57685,5.571,-2.493,0.647,6.138,-13.727,-6.005,-13.727,-6.005,-13.727,-6.005,7.722,open_shell,13.726872,172.97,169.05,137.1579,C1,1,26,26,0,1,98.57685,4.27458794655,0.784,True,19,1,0,O,O=C(O)C1=CC=CC(=C1)C
O=C(O)C=1C=CC=CC1,[H]OC(=[O+][H])c1c([H])c([H])c([H])c([H])c1[H],0,O,protonated,results_chunk_2_of_10,109.77695,5.35,0.267,-0.044,5.357,-14.296,-6.103,-14.296,-6.103,-14.296,-6.103,8.193,open_shell,14.29621,154.08,147.24,123.1311,C2v,1,23,23,0,1,109.77695,4.7602578828499995,0.302,True,16,1,0,O,O=C(O)C=1C=CC=CC1
O=C(O)C1CCCC1,[H]OC(=[O+][H])C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],0,O,protonated,results_chunk_2_of_10,65.82805,2.575,0.573,-0.153,2.643,-15.498,-5.772,-15.498,-5.772,-15.498,-5.772,9.725999999999999,open_shell,15.497502,150.06,148.18,115.1517,C1,1,23,23,0,1,65.82805,2.85450173215,0.539,True,19,1,0,O,O=C(O)C1CCCC1
O=C(O)C1CCCCC1,[H]OC(=[O+][H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],0,O,protonated,results_chunk_2_of_10,61.08338,5.992,-0.556,0.829,6.074,-14.864,-5.83,-14.864,-5.83,-14.864,-5.83,9.034,open_shell,14.864189,167.39,168.65,129.1785,Cs,1,26,26,0,1,61.08338,2.64875860694,0.47,True,22,1,0,O,O=C(O)C1CCCCC1
O=C(OC)C,[H][O+]=C(OC([H])([H])[H])C([H])([H])[H],0,O,protonated,results_chunk_2_of_10,79.49272,-2.258,1.028,-0.346,2.505,-17.517,-5.879,-17.517,-5.879,-17.517,-5.879,11.638,open_shell,17.516779,114.9,98.4,75.0871,Cs,1,15,15,0,1,79.49272,3.4470428173600003,0.208,True,12,1,0,O,O=C(OC)C
O=C(O)C1=CC=CC(=C1)C,[H]c1c([H])c(C(=O)[O+]([H])[H])c([H])c(C([H])([H])[H])c1[H],2,O,protonated,results_chunk_2_of_10,96.15757,2.824,-0.321,0.613,2.908,-13.95,-5.854,-13.95,-5.854,-13.95,-5.854,8.096,open_shell,13.950063,177.7,173.28,137.1579,C1,1,26,26,0,1,96.15757,4.1696807079100005,1.046,True,19,1,2,O,O=C(O)C1=CC=CC(=C1)C
O=C(O)C1CCCC1,[H][O+]([H])C(=O)C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],2,O,protonated,results_chunk_2_of_10,67.32517,2.35,0.734,0.743,2.571,-15.268,-5.59,-15.268,-5.59,-15.268,-5.59,9.678,open_shell,15.267706,154.74,154.0,115.1517,C1,1,23,23,0,1,67.32517,2.91942134671,0.831,True,19,1,2,O,O=C(O)C1CCCC1
O=C(OC)C,[H][O+](C(=O)C([H])([H])[H])C([H])([H])[H],2,O,protonated,results_chunk_2_of_10,86.49653,2.99,-0.991,-0.484,3.187,-15.687,-5.88,-15.687,-5.88,-15.687,-5.88,9.806999999999999,open_shell,15.687351,120.97,105.83,75.0871,C1,1,15,15,0,1,86.49653,3.75074903039,0.379,True,12,1,2,O,O=C(OC)C
O=C(O)C=C(C)C,[H]OC(=[O+][H])C([H])=C(C([H])([H])[H])C([H])([H])[H],0,O,protonated,results_chunk_2_of_10,69.69208,0.557,-0.688,-0.102,0.891,-15.366,-5.8,-15.366,-5.8,-15.366,-5.8,9.565999999999999,open_shell,15.365689,142.92,132.97,101.1249,Cs,1,20,20,0,1,69.69208,3.02205766504,0.521,True,16,1,0,O,O=C(O)C=C(C)C
O=C(OC)C(=C)C,[H][O+]=C(OC([H])([H])[H])C(=C([H])[H])C([H])([H])[H],0,O,protonated,results_chunk_2_of_10,93.88852,-0.07,1.969,0.274,1.99,-15.487,-6.04,-15.487,-6.04,-15.487,-6.04,9.447,open_shell,15.48661,145.86,135.2,101.1249,C1,1,20,20,0,1,93.88852,4.07128789276,0.446,True,16,1,0,O,O=C(OC)C(=C)C
O=C(O)C=1C=CC=CC1,[H]c1c([H])c([H])c(C(=O)[O+]([H])[H])c([H])c1[H],2,O,protonated,results_chunk_2_of_10,107.64202,1.939,0.406,-0.857,2.158,-14.534,-5.967,-14.534,-5.967,-14.534,-5.967,8.567,open_shell,14.534036,159.24,151.92,123.1311,C1,1,23,23,0,1,107.64202,4.66768091326,0.788,True,16,1,2,O,O=C(O)C=1C=CC=CC1
O=C(O)C=C(C)C,[H]C(C(=O)[O+]([H])[H])=C(C([H])([H])[H])C([H])([H])[H],2,O,protonated,results_chunk_2_of_10,69.35391,-0.41,0.303,0.484,0.703,-15.397,-5.71,-15.397,-5.71,-15.397,-5.71,9.687000000000001,open_shell,15.396945,152.01,138.96,101.1249,Cs,1,20,20,0,1,69.35391,3.00739359933,0.932,True,16,1,2,O,O=C(O)C=C(C)C
O=C(OC)C(=C)C,[H]C([H])=C(C(=O)[O+]([H])C([H])([H])[H])C([H])([H])[H],2,O,protonated,results_chunk_2_of_10,101.23545,-1.086,1.378,0.351,1.789,-15.343,-6.139,-15.343,-6.139,-15.343,-6.139,9.204,open_shell,15.343116,150.35,143.35,101.1249,C1,1,20,20,0,1,101.23545,4.38987281835,0.989,True,16,1,2,O,O=C(OC)C(=C)C
O=C(O)C1CCCCC1,[H][O+]([H])C(=O)C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],2,O,protonated,results_chunk_2_of_10,62.56651,3.402,0.931,-0.937,3.649,-14.753,-5.503,-14.753,-5.503,-14.753,-5.503,9.25,open_shell,14.753069,168.16,173.58,129.1785,C1,1,26,26,0,1,62.56651,2.71307157313,1.347,True,22,1,2,O,O=C(O)C1CCCCC1
O=C(C=1C=CC=CC1)C(Cl)(Cl)Cl,[H][O+]=C(c1c([H])c([H])c([H])c([H])c1[H])C(Cl)(Cl)Cl,0,O,protonated,results_chunk_2_of_10,152.49911,-6.526,-3.971,-2.3,7.978,-14.807,-6.957,-14.807,-6.957,-14.807,-6.957,7.8500000000000005,open_shell,14.807065,205.91,220.24,224.4938,C1,1,32,32,0,1,152.49911,6.61281890693,2.281,True,18,1,0,O,O=C(C=1C=CC=CC1)C(Cl)(Cl)Cl
O=C(OC)C1=CC=C(C=C1)S(=O)(=O)C,[H][O+]=C(OC([H])([H])[H])c1c([H])c([H])c(S(=O)(=O)C([H])([H])[H])c([H])c1[H],0,O,protonated,results_chunk_2_of_10,32.87348,-13.465,-1.215,8.073,15.747,-13.793,-5.983,-13.793,-5.983,-13.793,-5.983,7.81,open_shell,13.792977,229.23,237.64,215.2435,C1,1,38,38,0,1,32.87348,1.42549271324,1.577,True,25,1,0,O,O=C(OC)C1=CC=C(C=C1)S(=O)(=O)C
O=C(OC)C=C,[H][O+]=C(OC([H])([H])[H])C([H])=C([H])[H],0,O,protonated,results_chunk_2_of_10,103.78969,-0.891,1.427,-0.106,1.686,-16.182,-6.154,-16.182,-6.154,-16.182,-6.154,10.027999999999999,open_shell,16.182461,128.75,114.22,87.0981,Cs,1,17,17,0,1,103.78969,4.50063232747,0.134,True,13,1,0,O,O=C(OC)C=C
O=C(OC)C1=CC=CC(=C1)C(F)(F)F,[H][O+]=C(OC([H])([H])[H])c1c([H])c([H])c([H])c(C(F)(F)F)c1[H],0,O,protonated,results_chunk_2_of_10,-43.92622,12.809,3.983,-0.926,13.446,-14.592,-6.14,-14.592,-6.14,-14.592,-6.14,8.452000000000002,open_shell,14.591748,210.52,214.12,205.1562,Cs,1,38,38,0,1,-43.92622,-1.90477267786,1.428,True,22,1,0,O,O=C(OC)C1=CC=CC(=C1)C(F)(F)F
O=C(OC)C1=CC=C(C=C1)S(=O)(=O)F,[H][O+]=S(=O)(F)c1c([H])c([H])c(C(=O)OC([H])([H])[H])c([H])c1[H],11,O,protonated,results_chunk_2_of_10,-20.57231,6.553,3.422,-1.134,7.479,-14.099,-5.55,-14.099,-5.55,-14.099,-5.55,8.549,open_shell,14.098901,218.99,222.46,219.2072,C1,1,38,38,0,1,-20.57231,-0.8920770785300001,1.603,True,22,1,11,O,O=C(OC)C1=CC=C(C=C1)S(=O)(=O)F
O=C(OC)C1=CC=C(C=C1)C(F)(F)F,[H][O+]=C(OC([H])([H])[H])c1c([H])c([H])c(C(F)(F)F)c([H])c1[H],0,O,protonated,results_chunk_2_of_10,-42.27235,-13.092,0.36,2.36,13.308,-14.666,-6.279,-14.666,-6.279,-14.666,-6.279,8.387,open_shell,14.665517,212.41,215.76,205.1562,C1,1,38,38,0,1,-42.27235,-1.8330559130500002,2.01,True,22,1,0,O,O=C(OC)C1=CC=C(C=C1)C(F)(F)F
O=C(OC)C=C,[H]C([H])=C([H])C(=O)[O+]([H])C([H])([H])[H],2,O,protonated,results_chunk_2_of_10,110.55485,1.866,0.526,0.305,1.963,-15.617,-6.274,-15.617,-6.274,-15.617,-6.274,9.343,open_shell,15.616771,133.25,122.09,87.0981,C1,1,17,17,0,1,110.55485,4.79398996055,0.361,True,13,1,2,O,O=C(OC)C=C
O=C(OC)OC,[H][O+]=C(OC([H])([H])[H])OC([H])([H])[H],0,O,protonated,results_chunk_2_of_10,54.24341,1.573,-1.175,1.997,2.801,-17.044,-5.842,-17.044,-5.842,-17.044,-5.842,11.202000000000002,open_shell,17.044311,125.85,110.22,91.0865,Cs,1,18,18,0,1,54.24341,2.35215698783,0.169,True,13,1,0,O,O=C(OC)OC
O=C(OC)C1=CC=C(C=C1)C(F)(F)F,[H]c1c([H])c(C(F)(F)F)c([H])c([H])c1C(=O)[O+]([H])C([H])([H])[H],2,O,protonated,results_chunk_2_of_10,-34.79678,10.401,-0.691,5.364,11.723,-14.843,-6.386,-14.843,-6.386,-14.843,-6.386,8.457,open_shell,14.842844,215.72,224.47,205.1562,C1,1,38,38,0,1,-34.79678,-1.50889277114,2.177,True,22,1,2,O,O=C(OC)C1=CC=C(C=C1)C(F)(F)F
O=C(OC)CC,[H][O+]=C(OC([H])([H])[H])C([H])([H])C([H])([H])[H],0,O,protonated,results_chunk_2_of_10,72.33719,-0.746,0.508,0.098,0.908,-17.083,-5.687,-17.083,-5.687,-17.083,-5.687,11.395999999999997,open_shell,17.083093,132.59,118.93,89.1139,Cs,1,18,18,0,1,72.33719,3.1367575699700003,0.416,True,15,1,0,O,O=C(OC)CC
O=C(OC)OC,[H][O+](C(=O)OC([H])([H])[H])C([H])([H])[H],2,O,protonated,results_chunk_2_of_10,69.34482,-0.724,2.089,1.119,2.478,-17.204,-6.457,-17.204,-6.457,-17.204,-6.457,10.747,open_shell,17.203767,128.41,112.58,91.0865,C1,1,18,18,0,1,69.34482,3.00699942966,0.28,True,13,1,2,O,O=C(OC)OC
O=C(OC)C1=CC=CC(=C1)C(F)(F)F,[H]c1c([H])c(C(=O)[O+]([H])C([H])([H])[H])c([H])c(C(F)(F)F)c1[H],2,O,protonated,results_chunk_2_of_10,-37.00525,-7.723,6.127,1.174,9.928,-14.975,-6.268,-14.975,-6.268,-14.975,-6.268,8.707,open_shell,14.974546,213.06,225.48,205.1562,C1,1,38,38,0,1,-37.00525,-1.6046586557499998,1.873,True,22,1,2,O,O=C(OC)C1=CC=CC(=C1)C(F)(F)F
O=C(OC)CC,[H][O+](C(=O)C([H])([H])C([H])([H])[H])C([H])([H])[H],2,O,protonated,results_chunk_2_of_10,79.44712,-1.116,-0.538,0.364,1.292,-15.677,-5.68,-15.677,-5.68,-15.677,-5.68,9.997,open_shell,15.677105,140.89,126.84,89.1139,C1,1,18,18,0,1,79.44712,3.44506546456,0.542,True,15,1,2,O,O=C(OC)CC
O=C1C2C=CC1CC2,[H][O+]=C1C2([H])C([H])=C([H])C1([H])C([H])([H])C2([H])[H],0,O,protonated,results_chunk_2_of_10,176.77537,2.013,-2.178,-1.663,3.401,-14.966,-6.15,-14.966,-6.15,-14.966,-6.15,8.815999999999999,open_shell,14.965664,142.97,138.25,109.1475,C1,1,21,21,0,1,176.77537,7.665510369310001,0.304,True,17,1,0,O,O=C1C2C=CC1CC2
O=C1CCC1,[H][O+]=C1C([H])([H])C([H])([H])C1([H])[H],0,O,protonated,results_chunk_2_of_10,151.95467,2.226,0.341,-0.185,2.26,-17.228,-6.41,-17.228,-6.41,-17.228,-6.41,10.818000000000001,open_shell,17.228485,112.15,96.55,71.0987,Cs,1,14,14,0,1,151.95467,6.58921035521,0.115,True,12,1,0,O,O=C1CCC1
O=C(SC)C,[H][O+]=C(SC([H])([H])[H])C([H])([H])[H],0,O,protonated,results_chunk_2_of_10,122.03364,-1.731,-0.202,-0.555,1.829,-14.561,-6.174,-14.561,-6.174,-14.561,-6.174,8.387,open_shell,14.561396,126.51,113.9,91.1477,Cs,1,15,15,0,1,122.03364,5.29174473132,0.488,True,12,1,0,O,O=C(SC)C
O=C(OC)C1=CC=C(C=C1)S(=O)(=O)F,[H][O+]=C(OC([H])([H])[H])c1c([H])c([H])c(S(=O)(=O)F)c([H])c1[H],0,O,protonated,results_chunk_2_of_10,-8.14611,17.523,-0.742,-3.364,17.858,-14.368,-6.269,-14.368,-6.269,-14.368,-6.269,8.099,open_shell,14.368152,217.69,222.7,219.2072,C1,1,38,38,0,1,-8.14611,-0.35323976793,2.284,True,22,1,0,O,O=C(OC)C1=CC=C(C=C1)S(=O)(=O)F
O=C=C,[H][O+]=C=C([H])[H],0,O,protonated,results_chunk_2_of_10,192.25311,0.219,-0.077,1.822,1.837,-17.618,-7.051,-17.618,-7.051,-17.618,-7.051,10.566999999999998,open_shell,17.618229,79.94,60.84,43.0451,Cs,1,8,8,0,1,192.25311,8.336671608929999,0.027,True,6,1,0,O,O=C=C
O=C1OCCO1,[H][O+]=C1OC([H])([H])C([H])([H])O1,0,O,protonated,results_chunk_2_of_10,65.9505,-0.782,-1.479,0.662,1.799,-16.959,-6.066,-16.959,-6.066,-16.959,-6.066,10.893,open_shell,16.959471,112.45,97.05,89.0707,Cs,1,17,17,0,1,65.9505,2.8598115315,0.121,True,11,1,0,O,O=C1OCCO1
O=C1C2CCC1CC2,[H][O+]=C1C2([H])C([H])([H])C([H])([H])C1([H])C([H])([H])C2([H])[H],0,O,protonated,results_chunk_2_of_10,139.06929,0.244,2.98,0.373,3.013,-15.803,-5.978,-15.803,-5.978,-15.803,-5.978,9.825000000000001,open_shell,15.802872,148.33,145.34,111.1633,Cs,1,22,22,0,1,139.06929,6.03046162227,0.346,True,19,1,0,O,O=C1C2CCC1CC2
