MIC1,AATSC1p,MATS1se,ETA_dEpsilon_B,BCUTZ-1h,BCUTv-1l,Mor31v,AMID_O,n6HRing,WPSA3,Mor20,ATSC0se,ATSC0p,SMR_VSA9,AATSC0dv,GATS2p,SlogP_VSA2,ATSC3c,PEOE_VSA4,BCUTd-1l,AETA_eta,PEOE_VSA8,GATS2dv,Xc-5d,NsssP,TIC1,BCUTZ-1l,mZagreb1,SMR_VSA3,BCUTse-1h,NssO,GATS2Z,NsSH,ATSC3se,RNCS,ATSC3d,GATS1se,MATS2Z,n6aHRing,TopoPSA(NO),PPSA2,NddsN,EState_VSA8,NtN,ATSC1Z,Mor04v,ATSC1se,PEOE_VSA7,ETA_epsilon_5,Mor14,AETA_eta_F,VSA_EState4,AATSC0Z,BCUTi-1h,BCUTs-1h,AETA_alpha,AMID_N,AATSC1d,PPSA1,AATS2dv,AMID_h,Mor25,ATSC3Z,PPSA4,ATSC1s,AATSC1i,BCUTi-1l,Mor31m,Mor18,NdO,BCUTse-1l,AATSC0d,AATSC2c,AATSC0v,ATSC1p,SIC0,Mor13m,nBase,SlogP_VSA1,ATSC1i,RPCG,PEOE_VSA1,SMR_VSA6,AATSC1Z,SM1_DzZ,NdsN,SlogP_VSA4,ATS0s,BCUTc-1l,VSA_EState3,ATSC3dv,SdssC,ATSC1d,GATS1s,nN,Mor18v,GATS2s,AATS1s,AXp-0dv,nHRing,Ehomo,Elumo,chemical potential,hardness,MK_charge,Dipole moment,CM5_charge,fp_86,fp_137,fp_111,fp_160,fp_65,fp_90,fp_138,fp_99,fp_155,fp_121,fp_29,fp_70,fp_50,fp_77,fp_56,fp_151,fp_21,fp_145,fp_140,fp_85,fp_119,fp_141,fp_161,fp_158,fp_131,fp_63,fp_106,fp_149,fp_25,fp_139,fp_165,fp_57,fp_113,fp_100,fp_146,fp_154,fp_136,fp_41,fp_153,fp_109,fp_78,fp_83,fp_162,fp_128,fp_52,fp_47,fp_164,fp_88,fp_95,fp_82,fp_89,fp_163,fp_76,fp_98,fp_84,fp_159,fp_150,fp_42,fp_101,fp_69,fp_130,fp_16,fp_118,fp_122,fp_91,fp_94,fp_24,fp_144,fp_107,fp_142,fp_129,fp_8,fp_110,fp_49,fp_37,fp_156,fp_125,fp_157,fp_72,smiles,reg_num,EXP_PA
23.504,-0.199434083,-0.924151074,0.0,9.009193411,13.3034557,0.001697886,0.405502117,0,1.188864091,-0.064741098,1.052232,0.837753,0.0,1.5,0.071649997,6.290783645,0.0,0.0,0.968068449,0.254834087,0.0,0.166666667,0.0,0,6.0,5.970302673,3.111111111,0.0,4.022150729,0,0.166666667,0,0.0,116.4920081,0.0,1.886226612,0.222222222,0,17.07,6.981797911,0,0.0,0,-4.0,-0.256920751,-0.729316,0.0,1.448809524,-0.189095144,0.553178615,0.0,1.5,17.42773568,8.004861357,0.351190476,0.0,-0.75,14.4575209,44.33333333,1.216506351,0.004882207,0.0,1.745449478,-20.25,-4.491315574,11.23786619,0.010272099,0.008891473,1,2.682334159,0.75,0.025061499,9.013005892,-0.59830225,0.75,0.216283688,0,0.0,-13.47394672,1.0,0.0,0.0,-1.333333333,0.916666667,0,0.0,179.7777778,-0.289517037,0.0,0.0,-2.833333333,-2.25,1.963855422,0,0.003914615,0.036144578,12.77777778,0.416044309,0,-0.35357,-0.01783,-0.1857,0.16787,-0.430175,1.1571,-0.26339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,O=C(F)F,353-50-4,666.7
33.62233054,-0.096266667,-0.39767436,0.0,9.014496943,13.30161566,0.032103692,0.237667876,0,0.617042159,0.108794466,2.101131429,1.6653,0.0,1.714285714,1.154651814,12.21331281,0.195834792,17.56166019,0.972611598,0.45739681,0.0,1.138888889,0.866025404,0,14.89659695,5.881848003,5.173611111,0.0,4.03113938,0,1.138888889,0,0.574178204,170.1139833,3.06122449,1.693023079,-0.324074074,0,17.07,6.08681552,0,0.0,0,-4.0,-0.389715453,-0.71619951,0.0,1.446258503,-0.118946074,0.729660486,0.0,1.714285714,17.43121848,8.007946156,0.353741497,0.0,-0.632653061,6.850786046,36.11111111,1.18483666,0.202893491,3.0,0.869545074,-21.18962585,-2.48101551,11.14742565,0.138841874,-0.109460401,1,2.607274744,1.346938776,-0.030564404,10.20500485,-0.5776,0.49113259,-0.14988547,0,0.0,-14.88609306,0.54364248,0.0,0.0,-0.666666667,1.583333333,0,0.0,309.3402778,-0.319637288,0.0,3.0,-3.256944444,-3.795918367,1.760534639,0,-0.061701392,1.142502466,9.513888889,0.417158026,0,-0.34442,-0.06657,-0.205495,0.138925,-0.376729,0.9445,-0.236678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,O=C(F)C(F)(F)F,354-34-7,668.6
23.28297968,-0.063269018,-0.250812875,0.0,9.017309152,13.29989149,0.091953145,0.17053418,0,0.307042178,0.352135081,3.1496976,2.4918264,0.0,1.8,1.076254188,18.13584198,-0.176021791,26.34249029,0.977529131,0.604734771,0.0,1.033333333,0.866025404,0,15.70950594,5.843196648,7.236111111,0.0,4.034274937,0,1.033333333,0,-1.91860032,191.8973859,-6.72,1.628657938,-0.074074074,0,17.07,4.336622846,0,0.0,0,-4.0,-0.349246178,-0.71098624,0.0,1.445238095,-0.509604164,0.871440363,0.0,1.8,17.4337979,8.01048221,0.354761905,0.0,-0.693333333,3.449016423,35.06666667,1.17008545,0.308310748,-12.0,0.433662285,-23.27083333,-1.718961358,11.10771344,0.260353211,-0.108625903,1,2.572110983,1.56,-0.014516576,10.6751143,-0.56942116,0.389972873,0.160640223,0,0.0,-15.47065223,0.365171911,0.0,0.0,-0.444444444,2.25,0,0.0,438.9027778,-0.346776442,0.0,-12.0,-3.680555556,-6.24,1.700750469,0,-0.070204716,1.036069418,8.425925926,0.417603513,0,-0.31771,-0.10213,-0.20992,0.10779,-0.323989,0.5609,-0.210987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,O=C(C(F)(F)F)C(F)(F)F,684-16-2,670.4
21.53626917,-0.031805585,-0.303743525,0.0,9.020546207,13.29989149,0.236449853,0.122767857,0,0.808179088,0.414020878,5.336717333,3.486804907,0.0,3.973333333,1.157613617,29.23647376,-0.479942098,39.51373543,0.987165684,0.885255691,0.0,0.469798658,2.8125,0,25.31914642,5.819365328,10.25,0.0,4.03792819,0,0.461452514,0,-3.789346667,121.8110525,-31.2,1.508881864,0.115642458,0,20.23,24.12712177,0,0.0,0,-15.76,0.094472048,-1.512927111,0.0,1.393015873,-0.747397571,0.998672881,-6.6875,4.773333333,17.43690887,8.013579984,0.350340136,0.0,-0.174285714,12.90560362,32.04,1.197544643,-0.060054726,-3.6,1.608474784,-40.7725,-1.430551989,11.08290549,0.742055778,-0.965887668,0,2.555740323,1.76,-0.004576725,15.92005316,-0.445278194,0.376668408,-0.516972958,0,0.0,-20.02772785,0.232738875,5.106527395,0.0,-1.125714286,3.25,0,0.0,619.25,-0.223569714,7.645833333,-21.0,0.0,-2.44,1.537201881,0,-0.501265203,0.898807524,7.727678571,0.417778132,0,-0.3358,0.03388,-0.15096,0.18484,-0.137262,1.419,-0.122694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,2378-02-1,676.8
40.22161986,-0.046489146,-0.363502512,0.0,17.00110172,13.30279735,0.008926843,0.237667876,0,0.458965984,0.183622201,1.909281429,2.777286857,0.0,4.677248677,0.795586405,11.41872529,0.148253283,13.17124514,0.972611598,0.529176607,0.0,0.698969331,0.866025404,0,14.89659695,5.883290364,5.173611111,0.0,4.030558976,0,0.937356322,0,0.136746061,137.0388342,3.06122449,1.590507536,-0.269157088,0,17.07,4.692300148,0,11.60093989,0,-9.87755102,-0.322596027,-0.594881653,11.60093989,1.385034014,-0.159788977,0.65788069,0.0,11.83673469,17.43068845,8.007379336,0.414965986,0.0,-0.632653061,5.929473439,29.19753086,1.18483666,0.108506315,-2.87755102,0.670328593,-15.06552129,-1.729996138,11.14493329,-0.025404129,-0.063313479,1,2.604447678,1.346938776,-0.023584026,14.48887433,-0.278934878,0.656265789,0.105862486,0,0.0,-10.37997683,0.588381418,0.0,0.0,-1.646258503,1.897058824,0,0.0,247.1511298,-0.342642376,-2.284722222,-19.51851852,-2.284722222,-3.795918367,1.189684451,0,-0.02681937,0.888866951,7.665466392,0.525147876,0,-0.3312,-0.08488,-0.20804,0.12316,-0.282396,0.7004,-0.211794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,O=C(Cl)C(F)(F)F,354-32-5,681.6
26.40742839,-0.092334207,-0.183080467,0.0,9.014070614,13.30279768,0.040219154,0.277675565,0,1.191930256,0.175958997,2.652262857,1.598118573,0.0,6.12244898,1.14602181,12.46245904,0.087758302,13.17124514,0.957377555,0.403551389,0.0,0.808888889,0.0,0,14.89659695,5.883847461,4.3125,0.0,4.030536165,0,0.688202247,0,-0.979564163,134.4436699,1.959183673,1.049241402,0.085830212,0,17.07,27.87543541,0,0.0,0,-0.734693878,-0.349102084,-0.416209306,0.0,1.384920635,-0.151210131,0.658335335,0.0,7.265306122,17.43068768,8.007379039,0.365079365,0.0,-0.602040816,35.5593136,26.0,1.103119739,0.134775672,-30.30612245,3.982205059,-15.88520408,-1.828128269,11.14843017,0.12623432,-0.041644772,1,2.611846862,1.102040816,-0.015850448,22.55597235,-0.554005245,0.656265789,0.121585212,0,0.0,-10.96876961,0.569347363,0.0,0.0,-0.12244898,1.25,0,0.0,247.5625,-0.358214742,0.0,-23.87755102,0.0,-3.612244898,1.165179709,0,-0.03126352,0.842807375,8.083333333,0.436581996,0,-0.29821,-0.07554,-0.186875,0.111335,-0.344749,1.6008,-0.239157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,O=CC(F)(F)F,75-90-1,685.5
23.64383777,-0.041258654,-0.275249934,0.0,9.017306679,13.29989149,0.111561922,0.17053418,0,1.094832242,0.147525923,4.807044,2.594835467,0.0,6.638888889,1.336127446,23.56309082,0.068651577,26.34249029,0.987165684,0.710550728,0.0,0.595903986,0.866025404,0,25.509775,5.850594851,7.236111111,0.0,4.034211771,0,0.540221792,0,-2.605239,111.2296842,-6.666666667,1.186916533,0.151205774,0,20.23,41.43221635,0,0.0,0,-12.36111111,-0.143081237,-1.212877,0.0,1.341125541,-0.218618434,0.765624406,0.0,8.305555556,17.43379775,8.010477954,0.354761905,0.0,-0.404040404,29.95943698,25.05263158,1.17008545,0.084454867,-27.75,3.452684696,-33.45158179,-1.507642643,11.11416781,0.294864358,-0.55588433,0,2.586654508,1.388888889,-0.006797943,22.93263612,-0.453845195,0.482452455,-0.214554403,0,0.0,-16.58406907,0.305797776,5.106527395,0.0,-1.123737374,2.25,0,0.0,426.9027778,-0.225512717,7.472222222,-40.08333333,0.0,-4.444444444,1.245566338,0,-0.269621008,0.758830603,7.151515152,0.42923507,0,-0.319,0.04385,-0.137575,0.181425,-0.152131,2.2845,-0.128041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,FC(F)(F)C(O)C(F)(F)F,920-66-1,686.6
25.88292316,-0.08489045,-0.300780321,0.0,9.014068538,13.30279848,0.031729167,0.0,0,0.784192824,0.090365057,1.964235333,1.4944935,6.069221313,1.888888889,0.965737365,6.176298517,0.088757136,18.4331367,0.911369394,0.368002214,0.0,0.882352941,0.0,0,10.7548875,5.846658607,4.3125,0.0,4.030520268,0,0.882352941,0,-0.420325667,203.8493547,1.333333333,1.251950802,-0.016806723,0,23.79,13.75416247,0,0.0,1,-2.777777778,-0.435277381,-0.492336111,0.0,1.323809524,-0.218496332,0.69388451,0.0,1.888888889,17.4306881,8.007377712,0.376190476,0.277675565,-0.822222222,20.85946234,35.85714286,1.103119739,0.073026638,-2.666666667,2.292360411,-18.671875,-2.630856543,11.14274627,0.12445213,-0.000113385,0,2.542937696,1.222222222,-0.014314525,10.63428351,-0.42445225,0.564475468,0.234181698,0,0.0,-13.15428271,0.732410447,0.0,0.0,-0.555555556,1.142857143,0,11.33111287,235.8125,-0.369358336,7.027777778,-2.666666667,0.0,-4.111111111,1.636981645,1,0.00685923,0.880353501,9.625,0.430184502,0,-0.38371,-0.02796,-0.205835,0.177875,-0.32644,1.4295,-0.263657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,N#CC(F)(F)F,353-85-5,688.4
25.85537269,-0.027992418,-0.150856839,0.0,9.017309601,13.29989149,0.1297594,0.153409091,0,1.154729423,0.237141722,6.281766933,3.304634824,0.0,8.533333333,1.162368456,23.06017524,0.180400446,26.34249029,0.987165684,0.850754163,0.0,0.336875,3.0,0,36.33869643,5.815497988,8.1875,0.0,4.034229634,0,0.294177215,0,-0.499132267,92.6067249,-14.4,0.912048483,0.489873418,0,20.23,80.58958814,0,0.0,0,-10.0,0.034929487,-0.884471004,6.9237372,1.287698413,-0.198168351,0.774245837,-4.625,10.53333333,17.43379886,8.010478996,0.367965368,0.0,0.102857143,57.72300395,21.24,1.061079545,0.139946016,6.0,5.372639209,-31.75,-0.905304,11.07800575,0.272325912,-0.722467577,0,2.554234736,1.44,-0.006236797,30.17550967,-0.391893859,0.462321349,-0.35441455,0,0.0,-12.674256,0.304749008,5.106527395,0.0,-0.714285714,2.25,0,0.0,432.6875,-0.227367296,7.9375,-36.0,0.0,1.44,1.00309119,0,-0.332672972,0.581421947,6.080357143,0.474090949,0,-0.31122,0.05276,-0.12923,0.18199,-0.158428,2.6294,-0.130583,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,FC(F)(F)C(O)(C)C(F)(F)F,1515-14-6,691.2
26.57491925,-0.058083681,-0.205606601,0.0,9.015437416,13.30067814,0.049398076,0.0,0,0.439082862,0.145803379,3.048670222,2.33672,6.069221313,1.950617284,1.184603665,12.09882769,0.0818585,27.21396679,0.911390995,0.544476403,0.0,1.121713729,1.810660172,0,16.91968454,5.825269207,6.375,0.0,4.032287914,0,1.121713729,0,0.328907704,311.9237384,2.592592593,1.322426404,-0.185004869,0,23.79,12.09900731,0,0.0,1,-3.160493827,-0.438129432,-0.557179309,0.0,1.363492063,-0.422197033,0.842744016,0.0,1.950617284,17.43221339,8.008929037,0.36984127,0.186853155,-0.422839506,11.62271288,32.92307692,1.114902372,0.109566038,1.925925926,1.344334146,-19.09027778,-1.793018283,11.10847564,0.208976819,-0.266231075,0,2.532518217,1.50617284,-0.025269367,11.04102738,-0.464669444,0.426396244,0.140267058,0,0.0,-14.34414627,0.449448454,0.0,0.0,-0.395061728,1.80952381,0,11.33111287,365.375,-0.378810514,7.209652778,1.925925926,0.0,-3.382716049,1.581833061,1,-0.1274074,1.258718368,8.7109375,0.426337329,0,-0.38121,-0.0368,-0.209005,0.172205,-0.349492,1.4894,-0.262242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,N#CC(F)(F)C(F)(F)F,422-04-8,692.0
